32, 12288, 12288, 0.0954ms, 101.2549Tflops
64, 12288, 12288, 0.0958ms, 201.6946Tflops
128, 12288, 12288, 0.1449ms, 266.6851Tflops
256, 12288, 12288, 0.2689ms, 287.5128Tflops
512, 12288, 12288, 0.5168ms, 299.1963Tflops
1024, 12288, 12288, 1.0126ms, 305.4014Tflops
2048, 12288, 12288, 2.0041ms, 308.6015Tflops
4096, 12288, 12288, 3.9872ms, 310.2269Tflops
8192, 12288, 12288, 7.9535ms, 311.0460Tflops
16384, 12288, 12288, 15.8860ms, 311.4572Tflops
32768, 12288, 12288, 31.7510ms, 311.6632Tflops
8192, 32, 32, 0.0213ms, 0.7892Tflops
8192, 64, 64, 0.0215ms, 3.1190Tflops
8192, 128, 128, 0.0220ms, 12.1814Tflops
8192, 256, 256, 0.0244ms, 43.9285Tflops
8192, 512, 512, 0.0348ms, 123.5191Tflops
8192, 1024, 1024, 0.0761ms, 225.7932Tflops
8192, 2048, 2048, 0.2413ms, 284.7332Tflops
8192, 4096, 4096, 0.9024ms, 304.6117Tflops
8192, 8192, 8192, 3.5466ms, 310.0228Tflops
8192, 16384, 16384, 14.1232ms, 311.4057Tflops
8192, 32768, 32768, 56.4298ms, 311.7534Tflops
