32, 12288, 12288, 0.2140ms, 45.1554Tflops
64, 12288, 12288, 0.2181ms, 88.6294Tflops
128, 12288, 12288, 0.3502ms, 110.3832Tflops
256, 12288, 12288, 0.6764ms, 114.2987Tflops
512, 12288, 12288, 1.3288ms, 116.3624Tflops
1024, 12288, 12288, 2.6335ms, 117.4225Tflops
2048, 12288, 12288, 5.2431ms, 117.9598Tflops
4096, 12288, 12288, 10.4622ms, 118.2303Tflops
8192, 12288, 12288, 20.9004ms, 118.3661Tflops
16384, 12288, 12288, 41.7769ms, 118.4340Tflops
32768, 12288, 12288, 83.5297ms, 118.4681Tflops
8192, 32, 32, 0.0232ms, 0.7234Tflops
8192, 64, 64, 0.0242ms, 2.7748Tflops
8192, 128, 128, 0.0274ms, 9.7900Tflops
8192, 256, 256, 0.0360ms, 29.8131Tflops
8192, 512, 512, 0.0647ms, 66.3579Tflops
8192, 1024, 1024, 0.1690ms, 101.6724Tflops
8192, 2048, 2048, 0.5950ms, 115.4891Tflops
8192, 4096, 4096, 2.3265ms, 118.1506Tflops
8192, 8192, 8192, 9.2853ms, 118.4137Tflops
8192, 16384, 16384, 37.1718ms, 118.3168Tflops
8192, 32768, 32768, 148.8200ms, 118.2112Tflops
